,0,1
0,B.1.1.7,VOC
1,B.1.351,VOC
2,B.1.351.2,VOC
3,B.1.351.3,VOC
4,P.1,VOC
5,P.1.1,VOC
6,P.1.2,VOC
7,P.1.4,VOC
8,P.1.6,VOC
9,P.1.7,VOC
10,B.1.617.2,VOC
11,AY.1,VOC
12,AY.3.1,VOC
13,AY.2,VOC
14,AY.3,VOC
15,B.1.525,VOI
16,B.1.526,VOI
17,B.1.617.1,VOI
18,C.37,VOI
19,B.1.427,VFM
20,B.1.429,VFM
21,R.1,VFM
22,B.1.466.2,VFM
23,B.1.621,VFM
24,B.1.621.1,VFM
25,B.1.1.318,VFM
26,B.1.1.519,VFM
27,C.36.3,VFM
28,C.36.3.1,VFM
29,B.1.214.2,VFM
30,B.1.1.523,VFM
31,B.1.619,VFM
32,B.1.619.1,VFM
33,B.1.620,VFM
